set V:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;
param: E: w:=
1 2 121
1 3 47
1 4 34
1 5 45
1 6 72
1 7 140
1 9 11
1 11 50
1 12 104
1 13 88
1 14 131
1 15 87
1 16 141
1 17 108
1 19 110
1 20 13
2 3 67
2 6 58
2 7 44
2 8 125
2 9 22
2 10 20
2 11 105
2 12 42
2 13 94
2 14 145
2 15 34
2 17 71
2 19 110
3 5 5
3 7 124
3 9 22
3 10 146
3 12 147
3 13 64
3 14 56
3 15 47
3 16 1
3 18 47
3 19 118
3 20 43
4 5 92
4 6 115
4 8 5
4 10 7
4 11 109
4 12 126
4 15 139
4 16 48
4 17 38
4 18 12
4 20 131
5 6 13
5 7 121
5 8 9
5 9 82
5 10 12
5 11 22
5 12 88
5 13 17
5 14 124
5 15 119
5 16 3
5 17 72
5 19 54
5 20 130
6 7 5
6 8 44
6 9 145
6 11 19
6 13 96
6 14 94
6 17 31
6 20 84
7 8 117
7 9 46
7 10 134
7 11 82
7 12 129
7 18 32
7 19 15
7 20 67
8 9 104
8 10 103
8 11 55
8 12 59
8 13 149
8 14 88
8 15 134
8 16 1
8 17 137
8 18 86
8 19 127
8 20 85
9 10 96
9 11 23
9 12 50
9 13 39
9 14 50
9 15 104
9 16 96
9 17 121
10 12 110
10 13 94
10 14 81
10 15 88
10 16 87
10 17 67
10 18 49
10 19 116
10 20 31
11 13 148
11 14 11
11 16 67
11 17 8
11 18 35
11 19 89
11 20 80
12 16 141
12 17 36
12 18 4
12 20 87
13 14 23
13 16 102
13 17 89
13 20 64
14 16 108
14 18 29
14 19 80
14 20 41
15 16 115
15 18 71
15 19 29
16 17 12
16 20 136
17 19 50
17 20 40
18 19 71
18 20 53;
