set V:= 1 2 3 4 5 6 7 8 9 10 11 12 13;
param: E: w:=
1 2 33
1 3 120
1 4 58
1 5 98
1 8 76
1 10 105
1 11 62
1 12 115
1 13 23
2 4 129
2 5 81
2 8 121
2 9 65
2 10 5
2 11 85
3 5 113
3 8 13
3 9 99
3 10 93
3 11 6
3 12 99
3 13 27
4 6 28
4 9 145
4 10 84
4 11 57
5 6 95
5 7 60
5 8 56
5 9 80
5 10 37
5 11 86
5 12 112
5 13 17
6 7 137
6 8 45
6 9 132
7 9 96
7 10 17
7 12 111
7 13 126
8 10 16
8 11 146
9 11 103
9 12 145
10 11 17
10 12 28
10 13 56
11 12 92
11 13 68
12 13 67;
