set V:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14;
param: E: w:=
1 2 93
1 4 105
1 5 14
1 6 45
1 7 111
1 8 84
1 9 23
1 10 90
1 11 105
1 12 5
1 13 98
1 14 99
2 3 72
2 4 130
2 6 31
2 7 61
2 10 102
2 13 75
3 4 55
3 5 19
3 6 107
3 7 99
3 8 81
3 10 81
3 11 20
3 13 126
3 14 135
4 5 135
4 7 88
4 8 58
4 9 59
4 11 63
4 14 69
5 6 38
5 7 102
5 8 3
5 9 117
5 10 4
5 11 15
5 12 121
6 8 28
6 9 137
6 10 1
6 11 41
6 13 81
6 14 85
7 8 54
7 9 34
7 10 57
7 13 104
8 9 15
8 10 5
8 12 108
8 13 88
9 10 40
9 11 13
9 12 124
9 13 86
10 11 131
10 13 82
11 12 85
11 14 147
12 13 34
12 14 87
13 14 56;
