set V:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15;
param: E: w:=
1 2 37
1 3 137
1 5 63
1 6 127
1 7 56
1 13 12
1 14 33
1 15 58
2 4 123
2 6 122
2 9 122
2 10 32
2 12 61
2 13 107
2 14 105
2 15 27
3 4 50
3 5 79
3 6 139
3 8 72
3 10 38
3 11 103
3 12 74
3 14 2
3 15 135
4 6 145
4 7 88
4 9 6
4 10 70
4 11 48
4 12 58
4 14 108
5 6 73
5 8 18
5 14 10
5 15 101
6 7 58
6 8 120
6 10 99
6 11 142
6 12 87
6 13 112
6 14 15
6 15 67
7 8 50
7 9 93
7 10 15
7 11 22
7 12 13
7 13 89
7 14 63
7 15 37
8 12 21
8 13 92
8 14 117
8 15 83
9 10 76
9 12 116
9 14 90
9 15 96
10 12 136
10 13 17
10 14 66
10 15 118
11 13 31
11 15 124
12 13 54
12 14 112
12 15 18
13 14 146;
