set V:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16;
param: E: w:=
1 3 69
1 5 76
1 7 110
1 9 29
1 10 83
1 11 109
1 12 97
1 13 119
2 3 1
2 4 32
2 5 92
2 10 55
2 11 63
2 13 88
2 14 140
2 15 39
2 16 25
3 5 12
3 8 52
3 10 66
3 11 14
3 12 30
3 14 66
3 16 97
4 5 20
4 7 94
4 8 86
4 10 63
4 12 62
4 15 72
4 16 108
5 7 145
5 8 61
5 11 123
5 12 48
5 13 60
5 14 147
5 16 9
6 7 5
6 8 91
6 9 25
6 11 45
6 13 32
6 14 37
6 16 74
7 8 96
7 9 96
7 11 35
7 12 127
7 14 45
7 16 32
8 10 48
8 11 53
8 14 25
8 15 143
8 16 132
9 11 78
9 12 108
9 13 99
9 14 69
9 15 121
10 11 145
10 13 27
10 14 119
10 16 44
11 13 7
11 14 2
11 15 2
12 14 75
12 16 98
13 14 125
13 15 10
13 16 17
14 15 107
15 16 43;
