set V:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;
param: E: w:=
1 3 57
1 5 105
1 7 55
1 10 127
1 12 116
1 15 12
1 16 3
1 17 133
2 3 107
2 4 102
2 6 10
2 8 116
2 10 112
2 11 34
2 12 131
2 13 31
2 14 21
2 15 113
2 16 67
2 17 51
3 5 99
3 6 21
3 9 48
3 10 98
3 11 4
3 12 79
3 13 40
3 15 58
3 16 118
3 17 29
4 6 96
4 7 109
4 8 31
4 9 43
4 10 98
4 11 107
4 14 7
4 16 103
4 17 29
5 6 67
5 8 128
5 9 82
5 11 76
5 12 52
5 14 104
5 16 143
6 7 88
6 8 146
6 9 7
6 10 93
6 11 103
6 16 3
7 8 103
7 9 53
7 10 50
7 11 144
7 12 72
7 13 109
7 15 79
7 16 122
7 17 34
8 9 145
8 10 50
8 11 136
8 12 132
8 13 85
8 15 119
8 17 134
9 11 110
9 13 46
9 15 15
9 16 42
9 17 21
10 12 138
10 13 82
10 14 61
10 15 123
10 17 16
11 12 25
11 13 30
11 14 91
11 15 145
11 16 65
12 13 97
12 14 102
12 16 99
12 17 74
13 17 44
14 15 16
14 16 54
14 17 1
15 16 64
16 17 120;
