set V:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18;
param: E: w:=
1 2 62
1 3 117
1 5 105
1 6 95
1 7 102
1 9 68
1 10 14
1 11 86
1 12 57
1 13 13
1 14 125
1 16 46
1 17 86
2 4 125
2 5 50
2 6 125
2 7 43
2 8 95
2 9 112
2 10 64
2 12 29
2 13 43
2 16 142
3 4 57
3 5 143
3 9 149
3 11 112
3 12 135
3 13 37
3 14 148
3 15 11
3 18 139
4 5 16
4 7 129
4 8 40
4 9 78
4 10 7
4 12 148
4 13 100
4 14 35
4 15 72
4 16 144
4 18 37
5 6 64
5 7 83
5 8 64
5 9 119
5 10 8
5 11 137
5 12 40
5 13 41
5 14 126
5 15 127
5 16 63
5 17 132
5 18 87
6 7 47
6 8 101
6 9 119
6 11 106
6 12 86
6 14 97
6 15 3
6 16 15
6 17 55
7 8 109
7 11 3
7 12 113
7 13 21
7 14 113
7 15 42
7 17 42
8 9 72
8 10 6
8 11 32
8 12 54
8 14 1
8 15 21
8 17 149
8 18 144
9 10 89
9 11 4
9 13 145
9 16 117
10 12 121
10 13 43
10 15 103
10 16 83
11 13 11
11 14 110
11 15 7
11 16 145
11 17 50
12 13 126
12 15 45
12 16 121
12 17 62
13 14 118
13 15 18
13 17 70
13 18 69
14 15 127
14 16 25
14 17 139
14 18 136
15 16 117
15 17 41
15 18 126
16 17 93
17 18 134;
