set V:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19;
param: E: w:=
1 2 125
1 3 135
1 4 32
1 5 72
1 8 46
1 9 54
1 13 4
1 14 99
1 15 65
1 16 76
1 17 10
2 4 50
2 6 76
2 7 72
2 9 62
2 10 142
2 11 122
2 12 6
2 13 132
2 15 13
2 16 96
2 17 143
2 18 71
2 19 1
3 4 29
3 5 67
3 6 70
3 7 92
3 9 128
3 11 82
3 15 2
3 19 112
4 6 57
4 8 62
4 9 102
4 10 109
4 11 135
4 14 46
4 15 105
4 16 122
4 18 79
4 19 43
5 6 102
5 8 126
5 10 46
5 11 76
5 12 30
5 13 15
5 15 9
5 16 64
5 17 140
5 18 139
5 19 56
6 7 32
6 8 1
6 9 58
6 11 132
6 12 131
6 13 47
6 14 80
6 15 125
6 17 104
6 18 59
7 8 48
7 9 9
7 11 135
7 12 35
7 13 100
7 14 108
7 17 6
7 18 148
7 19 133
8 9 63
8 10 13
8 12 144
8 13 13
8 14 17
8 15 140
8 16 45
8 17 81
8 19 93
9 12 106
9 13 37
9 14 49
9 15 147
9 18 116
9 19 52
10 11 23
10 12 131
10 13 102
10 14 32
10 15 84
10 16 67
10 17 55
10 18 49
10 19 146
11 13 4
11 14 123
11 15 32
11 16 120
11 18 41
11 19 41
12 13 26
12 14 79
12 15 142
12 16 86
12 17 77
12 18 145
12 19 15
13 14 112
13 15 52
13 16 90
13 17 53
13 19 130
14 15 11
14 16 21
14 19 2
15 17 65
15 18 75
16 17 132
16 18 32
16 19 147
18 19 85;
