param m:=15;
param n:=120;
param c:=
1 6.000000
2 7.000000
3 4.000000
4 6.000000
5 3.000000
6 3.000000
7 7.000000
8 7.000000
9 7.000000
10 7.000000
11 1.000000
12 4.000000
13 7.000000
14 1.000000
15 3.000000
16 6.000000
17 2.000000
18 6.000000
19 5.000000
20 3.000000
21 6.000000
22 1.000000
23 4.000000
24 1.000000
25 2.000000
26 2.000000
27 4.000000
28 3.000000
29 1.000000
30 3.000000
31 3.000000
32 1.000000
33 5.000000
34 4.000000
35 4.000000
36 3.000000
37 4.000000
38 3.000000
39 2.000000
40 2.000000
41 4.000000
42 6.000000
43 2.000000
44 4.000000
45 3.000000
46 4.000000
47 2.000000
48 5.000000
49 7.000000
50 5.000000
51 1.000000
52 3.000000
53 1.000000
54 2.000000
55 2.000000
56 1.000000
57 6.000000
58 1.000000
59 3.000000
60 2.000000
61 5.000000
62 6.000000
63 7.000000
64 4.000000
65 4.000000
66 6.000000
67 4.000000
68 5.000000
69 4.000000
70 3.000000
71 2.000000
72 6.000000
73 1.000000
74 2.000000
75 7.000000
76 4.000000
77 7.000000
78 4.000000
79 4.000000
80 6.000000
81 7.000000
82 5.000000
83 6.000000
84 5.000000
85 4.000000
86 3.000000
87 1.000000
88 2.000000
89 4.000000
90 7.000000
91 7.000000
92 6.000000
93 4.000000
94 6.000000
95 7.000000
96 7.000000
97 5.000000
98 1.000000
99 3.000000
100 5.000000
101 5.000000
102 5.000000
103 1.000000
104 1.000000
105 4.000000
106 5.000000
107 4.000000
108 2.000000
109 6.000000
110 3.000000
111 2.000000
112 5.000000
113 7.000000
114 3.000000
115 7.000000
116 3.000000
117 4.000000
118 4.000000
119 3.000000
120 6.000000;
param d:=
1 7
2 2
3 5
4 2
5 3
6 1
7 3
8 4
9 4
10 2
11 2
12 1
13 5
14 1
15 6;
