# |V| = 27
# |E| = 222
# Prob((i,j)) = 0.600000

set V:=
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
;
param: E: w :=
1 2 3
1 3 21
1 4 3
1 5 11
1 6 100
1 7 37
1 8 28
1 9 88
1 10 96
1 11 11
1 12 40
1 13 97
1 14 2
1 15 42
1 16 85
1 17 90
1 18 33
1 19 48
1 20 24
1 21 2
1 22 66
1 23 28
1 24 40
1 25 36
1 26 25
1 27 38
2 3 37
2 4 28
2 5 69
2 7 46
2 12 45
2 15 93
2 16 2
2 18 37
2 19 29
2 20 90
2 23 95
2 24 89
2 26 56
2 27 70
3 4 27
3 5 25
3 6 69
3 7 74
3 8 9
3 10 27
3 13 67
3 14 82
3 16 57
3 18 20
3 21 29
3 23 92
3 24 73
3 25 48
3 26 65
4 6 31
4 7 98
4 8 80
4 10 21
4 11 7
4 12 33
4 13 48
4 14 41
4 16 8
4 17 12
4 18 48
4 19 44
4 20 16
4 21 58
4 22 92
4 23 58
4 24 6
4 25 100
4 26 49
4 27 67
5 9 84
5 10 18
5 12 46
5 13 57
5 15 83
5 16 23
5 17 32
5 19 71
5 21 42
5 22 24
5 23 65
5 26 54
6 8 67
6 10 89
6 13 26
6 15 87
6 16 29
6 22 17
6 23 72
6 24 4
6 26 52
6 27 16
7 9 96
7 11 77
7 12 8
7 14 46
7 15 22
7 19 92
7 20 96
7 21 66
7 23 21
7 24 51
7 25 33
7 27 79
8 9 84
8 10 24
8 11 28
8 13 43
8 14 90
8 15 25
8 16 67
8 18 10
8 20 57
8 22 29
8 25 48
8 26 89
8 27 25
9 10 49
9 11 86
9 12 58
9 13 69
9 14 40
9 18 35
9 20 45
9 22 8
9 25 98
9 26 55
9 27 83
10 13 36
10 14 33
10 16 45
10 17 60
10 19 87
10 20 36
10 23 35
10 24 72
10 25 1
10 26 40
11 13 37
11 14 89
11 15 62
11 16 93
11 21 9
11 22 97
11 23 61
11 24 62
11 26 54
11 27 37
12 13 80
12 14 52
12 16 35
12 17 100
12 22 37
12 23 79
12 24 24
12 25 54
12 26 78
12 27 85
13 14 85
13 17 50
13 19 87
13 20 17
13 22 62
13 25 34
13 26 77
14 15 63
14 16 27
14 20 69
14 22 26
14 24 20
14 25 62
15 16 13
15 20 48
15 21 82
15 22 9
15 23 69
15 26 40
15 27 11
16 17 54
16 18 6
16 21 6
16 22 24
16 23 51
16 24 89
16 25 50
16 27 64
17 18 63
17 19 11
17 21 8
17 22 36
17 23 15
17 24 54
17 25 84
17 26 60
17 27 34
18 23 68
18 25 28
18 26 72
18 27 28
19 21 62
19 23 20
19 24 55
19 25 41
19 26 78
20 21 85
20 22 39
20 24 11
20 26 51
20 27 13
21 22 11
21 23 84
21 26 43
21 27 44
22 27 61
23 27 12
24 25 79
26 27 3
;
