Q [*,*]
:    1    2    3    4    5    6    7    8    9    10   11   12   13   14   15 :=
1    24   13   25   42   37   44   45   26   11   34   18   12   33   32    4
2    17    8   35   14   31   43   47   23   25   16    5   41    2    7   22
3     2   22   29    7   36   32   11   30   45    1    4   44   24    6   49
4     1   30   40   23   38    3   15   42   17   39   35   46   13    8   16
5    49   33   34   19   20   28   21    9   10   29   31    3   38   48    2
6    16   18    5   26   39   41   48   20   15   14   40   37   27   36   30
7     4    6   10    9   46   12   27   19   49   22   43   47   28   21   13
8     6   29   48    2    7   18   24   38   34    8   46    5   15   12   41
9    31   45   22   25   49   26   19   28   14   36   21    7   37   10   15
10   12   11   43   47    9   21   34   16   44    4    2   29   26   13   38
11   33   20   46   37    4   42    3   43   40   25   22   24    6   11   14
12   28    1   16   32    8   14    5   33   18   20   27   17   19   23   31
13   41   23   38   40   35   30   36   32   31    9   45   49   39   47    1
14   13   15   44   27   17   10   39   48    1   42    3   35   30   41   47
15   23   43    4   38   40    9   35   36   12   33   15   25   46   28   27
16   29   36   37    5   48   46   20    7   21   27   17   22    3   35   26
17   30    3   17   45   34   22   13   41   23   47   38   14    5   49   44
18   10   19   42   18   11    1    6   45   20   31    8    4   29   39   43
19   27    7   32   12   47   15   49    2    6   26   48   30    9   16   25
20   44   25   26   24   33   16   41    1   42   37   13   34   11   18   35
21   39   31   14   21   28    8    2   10   32   40   24   19   43   44   37
22    9   38   21   49    1   25   29   14   39   32    7   11   18   31   40
23    7   37   30   41    2    6   23   47   16   13   33   27   36   17    5
24   42   47    3   15   16   48   12   44   30   46   26   40   25   19    6
25   11   46   33   44   32   27   10   24   48    2    1   23   21   20   36
26   20   17   31   43    5   34   18   12    4   10   42   38   35   22   29
27   36   40   24   28   13    4    8   49   43    5   29    9   45    3   18
28   14   39   19   35   26   45   22   34    8    6   28   15   41   37   32
29   38   16   18   29   25   17   46   15   35   45   41    1   47   40   34
30   15   14   39   11   41   37   40   17   36   12   23   26   42   25    8
31   34   10    7    4   23   47   30   39   22   38    6   18   31   27   20
32   21    5    1   20   12   36   31    4    9   49   44    2    7   33   45
33   19   48    9   22   42   49   43   13   28   24   34   10   16   29   23
